***************************************************************************************************
** [ INFO ] ***************************************************************************************
 START_DATE  : 2021-06-29 15:00:00
 END_DATE    : 2021-06-30 14:00:00
***************************************************************************************************
***************************************************************************************************
----------------------------------------------------------------------------------------------------
 [ TDATA STATISTICS ] 
####################################################################################################
## 1) NRF API Request Statistics (EMS DB)
SUM(NRF_REG_COUNT)	SUM(NRF_STOP_COUNT)
3450	0
####################################################################################################
## 2-1) Zone Noti. Input/Out Statistics (List) - Traffic Count (EMS DB)
SYSTEM_ID	MSG_TYPE	TOT_RECV_COUNT	SUCC_RECV_COUNT	FAIL_RECV_COUNT	REG_DATETIME
2021-06-30 08:01:44	[GET]/api/10/A/checkStatus	6007
2021-06-30 08:01:44	[GET]/api/10/A/updatePushStatus	6007
2021-06-30 08:02:44	[GET]/api/10/A/checkStatus	5996
2021-06-30 08:02:44	[GET]/api/10/A/updatePushStatus	5996
2021-06-30 08:03:44	[GET]/api/10/A/checkStatus	6003
2021-06-30 08:03:44	[GET]/api/10/A/updatePushStatus	6004
2021-06-30 08:04:44	[GET]/api/10/A/checkStatus	5999
2021-06-30 08:04:44	[GET]/api/10/A/updatePushStatus	5998
2021-06-30 08:05:44	[GET]/api/10/A/checkStatus	5996
2021-06-30 08:05:44	[GET]/api/10/A/updatePushStatus	5996
2021-06-30 08:06:44	[GET]/api/10/A/checkStatus	6003
2021-06-30 08:06:44	[GET]/api/10/A/updatePushStatus	6003
2021-06-30 08:07:44	[GET]/api/10/A/checkStatus	6002
2021-06-30 08:07:44	[GET]/api/10/A/updatePushStatus	6002
2021-06-30 08:08:44	[GET]/api/10/A/checkStatus	6002
2021-06-30 08:08:44	[GET]/api/10/A/updatePushStatus	6002
2021-06-30 08:09:44	[GET]/api/10/A/checkStatus	6000
2021-06-30 08:09:44	[GET]/api/10/A/updatePushStatus	6000
2021-06-30 08:10:44	[GET]/api/10/A/checkStatus	5999
2021-06-30 08:10:44	[GET]/api/10/A/updatePushStatus	5999
2021-06-30 08:11:44	[GET]/api/10/A/checkStatus	6002
2021-06-30 08:11:44	[GET]/api/10/A/updatePushStatus	6002
2021-06-30 08:12:44	[GET]/api/10/A/checkStatus	5939
2021-06-30 08:12:44	[GET]/api/10/A/updatePushStatus	5939
2021-06-30 08:13:44	[GET]/api/10/A/checkStatus	5995
2021-06-30 08:13:44	[GET]/api/10/A/updatePushStatus	5995
2021-06-30 08:14:44	[GET]/api/10/A/checkStatus	6008
2021-06-30 08:14:44	[GET]/api/10/A/updatePushStatus	6008
2021-06-30 08:15:44	[GET]/api/10/A/checkStatus	5997
2021-06-30 08:15:44	[GET]/api/10/A/updatePushStatus	5997
2021-06-30 08:16:44	[GET]/api/10/A/checkStatus	5995
2021-06-30 08:16:44	[GET]/api/10/A/updatePushStatus	5995
2021-06-30 08:17:44	[GET]/api/10/A/checkStatus	6000
2021-06-30 08:17:44	[GET]/api/10/A/updatePushStatus	6000
2021-06-30 08:18:44	[GET]/api/10/A/checkStatus	6006
2021-06-30 08:18:44	[GET]/api/10/A/updatePushStatus	6006
2021-06-30 08:19:44	[GET]/api/10/A/checkStatus	6000
2021-06-30 08:19:44	[GET]/api/10/A/updatePushStatus	6000
2021-06-30 08:20:44	[GET]/api/10/A/checkStatus	5996
2021-06-30 08:20:44	[GET]/api/10/A/updatePushStatus	5996
2021-06-30 08:21:44	[GET]/api/10/A/checkStatus	5998
2021-06-30 08:21:44	[GET]/api/10/A/updatePushStatus	5998
2021-06-30 08:22:44	[GET]/api/10/A/checkStatus	6005
2021-06-30 08:22:44	[GET]/api/10/A/updatePushStatus	6005
2021-06-30 08:23:44	[GET]/api/10/A/checkStatus	5995
2021-06-30 08:23:44	[GET]/api/10/A/updatePushStatus	5995
2021-06-30 08:24:44	[GET]/api/10/A/checkStatus	6002
2021-06-30 08:24:44	[GET]/api/10/A/updatePushStatus	6002
2021-06-30 08:25:44	[GET]/api/10/A/checkStatus	6005
2021-06-30 08:25:44	[GET]/api/10/A/updatePushStatus	6005
2021-06-30 08:26:44	[GET]/api/10/A/checkStatus	5988
2021-06-30 08:26:44	[GET]/api/10/A/updatePushStatus	5988
2021-06-30 08:27:44	[GET]/api/10/A/checkStatus	6010
2021-06-30 08:27:44	[GET]/api/10/A/updatePushStatus	6010
2021-06-30 08:28:44	[GET]/api/10/A/checkStatus	6002
